REG_NO,NAME,NUMBER,STREET1,STREET2,TOWN,TOWNLAND,COUNTY,COUNTY_ID,PLANAUTH,COMPOSITION,APPRAISAL,DATEFROM,DATETO,RATING,ORIGINAL_TYPE,X_COORD,Y_COORD,X_COORD_ITM,Y_COORD_ITM,LATITUDE,LONGITUDE,IMAGE_LINK,WEBSITE_LINK,SURVEY_ID
12000079,Flowers By Lucy,53,High Street,,Kilkenny,GARDENS (ST. JOHN'S PAR.),Kilkenny,KK,KC,"Terraced two-bay two-storey gable-fronted house with half-dormer attic, c.1775, originally two-bay three-storey.  Extensively renovated, 1883, with shopfront inserted to ground floor and top floor remodelled.  Reroofed with shopfront renovated.  Pitched (gable-fronted) and hipped roof with replacement artificial slate, clay ridge tiles, and replacement uPVC rainwater goods on rendered eaves retaining cast-iron hopper and downpipe.  Painted rendered, ruled and lined wall to front (west) elevation with cut-stone plaque to first floor, cast-iron tie plates to first floor, unpainted roughcast walls to side elevations, and exposed random rubble stone construction to rear (east) elevation.  Square-headed window openings with cut-stone sills, moulded rendered surrounds (plain surround to half-dormer attic), and replacement two-over-two timber sash windows, 1883, having timber casement window to half-dormer attic.  Timber shopfront, 1883, to ground floor with fluted pilasters, replacement fixed-pane display window, replacement glazed timber door, fascia over having consoles, and dentilated moulded cornice.  Road fronted with concrete brick cobbled footpath to front.",A pleasant modest-scale house distinguished in the streetscape on account of the gable fronting on to the road resulting from the truncation of the site to accommodate the widening of High Street in the late nineteenth century as outlined in a wall-mounted plaque.  Subsequently well maintained the house presents an early aspect with substantial quantities of the historic fabric surviving intact including a pretty shopfront of some artistic design importance.,1765,1785,Regional,house,250552,156014,650491,656057,52.65335532,-7.253762539,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12000079_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KK&regno=12000079,SURV009
12000080,Phone Stores (The),52,High Street,,Kilkenny,GARDENS (ST. JOHN'S PAR.),Kilkenny,KK,KC,"Terraced single-bay three-storey over basement house, c.1900, possibly incorporating fabric of earlier range, c.1825, on site with single-bay four-storey rear (east) elevation.  Reroofed, c.1975.  Extensively renovated with replacement shopfront inserted to ground floor probably incorporating fabric of earlier shopfront, c.1900.  One of a group of three.  Pitched (shared) roof with replacement artificial slate, c.1975, clay ridge tiles, rendered chimney stack, and cast-iron rainwater goods on rendered eaves having iron brackets.  Painted rendered, ruled and lined walls with cast-iron tie plates to top floor.  Square-headed window openings with cut-stone sills, moulded rendered surrounds having foliate embossed keystones, and replacement uPVC casement window to first floor retaining four-over-eight timber sash window to top floor.  Replacement timber shopfront to ground floor probably incorporating fabric of earlier shopfront, c.1900, with panelled pilasters, fixed-pane display window on panelled riser, glazed timber door, fascia over having consoles, and moulded cornice.  Road fronted with concrete brick cobbled footpath to front.",An appealing house built as part of a group of three identical units (with 12000081/KK-4766-09-81) forming an assemblage of modest appearance in the streetscape.  Despite renovation works in the late twentieth century that have led to the loss of some of the original fabric the house continues to present an early aspect in the street: a pleasant shopfront probably incorporating the fabric of an earlier counterpart enlivens the artistic design value of the composition at street level.,1890,1910,Regional,house,250549,156018,650488,656061,52.65339344,-7.253804424,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12000080_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KK&regno=12000080,SURV009
12000081,Dore's,50-51,High Street,,Kilkenny,GARDENS (ST. JOHN'S PAR.),Kilkenny,KK,KC,"End-of-terrace two-bay three-storey over basement house, c.1900, on a corner site originally two separate single-bay three-storey houses possibly incorporating fabric of earlier ranges, c.1825, on site with two-bay three-storey side (north) elevation, and two-bay four-storey rear (east) elevation.  Refenestrated, c.1950.  Reroofed, c.1975.  Renovated with replacement wrap-around shopfront inserted to ground floor.  Two of a group of three.  Pitched (shared) roof with replacement artificial slate, c.1975, clay ridge tiles, rendered chimney stacks, and cast-iron rainwater goods on rendered eaves having iron brackets.  Painted rendered, ruled and lined walls with cast-iron tie plates.  Square-headed window openings with cut-stone sills, moulded rendered surrounds having foliate embossed keystones, and replacement timber casement windows, c.1950.  Replacement polished granite wrap-around shopfront to ground floor with panels, fixed-pane display windows, gazed timber double doors, and stepped timber fascia.  Road fronted with concrete brick cobbled footpath to front.","An appealing building originally built as two separate houses forming part of a group of three identical units (with 12000080/KK-4766-09-80) representing an assemblage of modest appearance in the streetscape.  Despite renovation works over the course of the twentieth century that have led to the loss of some of the historic fabric many of the original composition attributes survive intact: however, a boldly-detailed shopfront does not have a beneficial impact on the external expression of the site at street level.",1890,1910,Regional,house,250546,156024,650486,656068,52.65345127,-7.253840844,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12000081_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KK&regno=12000081,SURV009
12000082,,,Parliament Street,,Kilkenny,GARDENS (ST. JOHN'S PAR.),Kilkenny,KK,KC,"Remains of gateway, dated 1862-3, comprising pair of engaged rock-faced limestone ashlar outer piers with moulded course to plinth, limestone ashlar quoins to corners, cut-stone date stone/plaques, moulding supporting inscribed friezes, and moulded capping having blocking course.  Remainder of gateway (inner piers, double gates, and flanking pedestrian gates) removed, pre-1977.  Road fronted.","Originally allowing access on to a public market place (established 1862) the remains of an elegant Classically-composed gateway exhibit high quality stone masonry with particular emphasis on the carved detailing.  Despite the loss of much of the composition including elaborate iron work executed by the Downes Brothers Foundry to accommodate the entrance to a carpark the piers survive as a pleasing, if subtle feature in the streetscape.  The attendant site remains of additional importance in the locality for the historic associations with the Confederation of Kilkenny (1642) together with the connections with Eamon De Valera (1882-1975).",1860,1865,Regional,gates/railings/walls,250535,156077,650474,656120,52.65392496,-7.254000385,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12000082_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KK&regno=12000082,SURV009
12000083,M.J. Crotty and Sons,45,Parliament Street,,Kilkenny,GARDENS (ST. JOHN'S PAR.),Kilkenny,KK,KC,"Attached two-bay three-storey over basement house, c.1825, on an L-shaped plan with single-bay three-storey return to east.  Extensively renovated, c.1875, with shopfront inserted to ground floor.  Refenestrated.  Now in use as offices.  Pitched slate roof (hipped to return forming L-shaped plan) with clay ridge tiles, rendered chimney stacks, rendered coping, and cast-iron rainwater goods on overhanging eaves having consoles.  Unpainted rendered, ruled and lined walls with rendered quoins to corners.  Square-headed window openings with cut-stone sills, moulded rendered surrounds to front (west) elevation, and replacement uPVC casement windows.  Rendered shopfront, c.1875, to ground floor with stepped pilasters, replacement timber casement windows, timber panelled door on two tooled cut-limestone steps having overlight (glazed timber panelled door to lobby having overlight), and fascia over on moulded stringcourse having moulded cornice.  Interior with timber panelled shutters to window openings.  Road fronted with concrete brick cobbled footpath to front.",A well-appointed substantial house forming an important element of an assemblage of formal Classical quality in the street scene of Parliament Street while serving to frame the adjacent Kilkenny City Courthouse (12000084/KK-4766-09-84).  Despite the inappropriate replacement fittings to the window openings that have not had a positive bearing on the external expression of the composition elsewhere substantial quantities of the historic fabric survive intact both to the exterior and to the interior including an appealing shopfront displaying high quality craftsmanship.,1815,1835,Regional,house,250539,156083,650478,656127,52.65398198,-7.253943701,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12000083_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KK&regno=12000083,SURV009
12000084,Kilkenny City Courthouse,,Parliament Street,,Kilkenny,GARDENS (ST. JOHN'S PAR.),Kilkenny,KK,KC,"Attached seven-bay double-height over projecting raised basement Classical-style courthouse, built 1792, originally detached incorporating fabric of earlier bridewell, 1566, to basement retaining fabric of medieval castle, 1210.  Remodelled, 1828, with pedimented tetrastyle Tuscan frontispiece added to centre.  Extended, 1855-6, comprising four-bay three-storey return to east.  Renovated, pre-1977, with interior remodelled.  Pitched slate roof (gabled to pediment; hipped to return) with clay ridge tiles, and concealed cast-iron rainwater goods.  Random rubble limestone walls with limestone ashlar dressings including tooled plinth, engaged Tuscan columns forming tetrastyle frontispiece to centre supporting frieze with moulded surround to pediment having modillions, paired engaged Tuscan columns to end bays, frieze, moulded cornice, and blocking course over incorporating panels to end bays having swags.  Square-headed window openings (in tripartite arrangement to bays flanking frontispiece in segmental-headed recesses; rectangular panels over to end bays) with cut-limestone sills, cut-limestone surrounds (incorporating panelled pilasters to tripartite openings supporting frieze and entablature), and six-over-six timber sash windows having two-over-two sidelights to tripartite openings.  Series of three square-headed door openings to frontispiece with carved surrounds having friezes, entablatures, timber panelled double doors, and cut-limestone panels over incorporating roundels having swags.  Square-headed openings to basement in segmental-headed recesses forming arcade on limestone ashlar piers with moulded necking, cut-stone sills, cut-stone surrounds having keystones, and six-over-six timber sash windows with one having timber panelled door.  Series of four square-headed openings to left to basement with limestone ashlar Tuscan columns supporting lintels, and wrought iron gates.  Interior with entrance hall having limestone flagged floor, carved timber architraves to door openings having timber panelled doors or double doors, rectangular panels over, timber panelled reveals to window openings, and shallow segmental vaulted ceiling on decorative plasterwork cornice.  Set back from road with landscaped forecourt enclosed by pair of flights of twenty cut-limestone steps (leading to entrance level) with limestone ashlar parapets having chamfered coping, rusticated limestone ashlar piers having moulding supporting frieze, cut-limestone capping supporting iron lamp standards, and iron double gates.","An edifice of national significance in the architectural heritage of Kilkenny occupying a site having origins in the thirteenth-century Grace's Castle reputedly surviving to the present day in fragments in the basement level.  Subsequently yielded by James Grace (n. d.) for adaptation to use as a bridewell or gaol the building represents one of the earliest-surviving civic institutions in the locality.  Converted to use as a courthouse possibly to designs prepared by Sir Jerome Fitzpatrick (n. d.) with an internal configuration highlighting the prevailing influence of James Gandon's (1743-1823) contemporary (1784) Waterford City Courthouse (demolished pre-1849) the composition as it appears today is primarily the product of a comprehensive redevelopment in the early nineteenth century to designs prepared by William Robertson (1770-1850): the resulting Classical scheme surmounting a somewhat haphazard base forms an elegantly distinctive focal point in the centre of Parliament Street.  Cut-limestone accents with particular emphasis on the finely-carved details exhibiting expert stone masonry enhance the architectural design quality of the composition: meanwhile, notwithstanding renovation works undertaken in the late twentieth century some early fittings survive in the interior spaces including fine timber joinery together with decorative plasterwork features introducing an element of artistic importance to the site.",1790,1795,National,court house,250547,156112,650487,656156,52.65424084,-7.25381494,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12000084_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KK&regno=12000084,SURV009
12000085,Saint Francis's Abbey Brewery,44,Parliament Street,,Kilkenny,GARDENS (ST. JOHN'S PAR.),Kilkenny,KK,KC,"Attached four-bay three-storey office building, built 1882, with two-bay three-storey side (south) elevation, and single-bay two-storey return to east.  Roofs not visible behind parapets (possibly flat) with rendered chimney stacks, rendered coping, and cast-iron rainwater goods.  Rusticated limestone ashlar wall to ground floor with moulding supporting frieze to first floor having course over, red brick Flemish bond walls to upper floors with limestone ashlar dressings including quoins having vermiculated panels, moulding, course to top floor, frieze having consoles, coping to parapet, and painted rendered wall to side (south) elevation.  Series of four round-headed openings to ground floor in round-headed recesses having keystones, cut-limestone sill on consoles, fixed-pane timber window, and diagonal tongue-and-groove timber panelled double doors having overlights.  Square-headed window openings to first floor in round-headed recesses (forming round-headed blind openings to side (south) elevation) with segmental-headed window openings to top floor in segmental-headed recesses (forming segmental-headed blind openings to side (south) elevation) having cut-limestone sills forming sill course on consoles, moulded reveals, red brick voussoirs having cut-limestone keystones to first floor, and three-over-six timber sash windows having yellow and vitrified blue brick overpanels to first floor.  Round-headed door opening to return in round-headed rebated recess with moulded reveals, red brick voussoirs having cut-limestone keystones, and diagonal tongue-and-groove timber panelled double doors having overlight.  Road fronted with concrete brick cobbled footpath to front.","A well-composed middle-size building making a distinctive impression in the streetscape of Parliament Street on account of the variety of materials employed in the construction representing a characteristic of the late nineteenth-century High Victorian period: the resulting combination of limestone with red, yellow and vitrified blue brick produces an appealing polychromatic visual effect enhancing the architectural design importance of the composition.  Finely-carved details displaying high quality stone masonry in locally-sourced County Kilkenny limestone further enliven the external expression of the building while the retention of substantial quantities of the early fabric ensures that the site contributes positively to the historic character of the street scene.",1880,1885,Regional,office,250532,156129,650471,656173,52.65439581,-7.254041136,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12000085_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KK&regno=12000085,SURV009
12000086,,,Jenkin's Lane,,Kilkenny,GARDENS (ST. JOHN'S PAR.),Kilkenny,KK,KC,"Section of limestone cobbling, c.1875, with cut-limestone flagged wheel tracks.","An appealing, if subtle feature in the street scene representing a traditional method of paving using locally-sourced materials: the resulting pattern displays a pleasant character lacking in the modern coverings applied to roads and streets.",1865,1885,Regional,cobbles/flags/paving/kerbing,250532,156145,650472,656188,52.65453279,-7.25402803,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12000086_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KK&regno=12000086,SURV009
12000087,E. Smithwick and Sons Limited,,Jenkin's Lane,,Kilkenny,GARDENS (ST. JOHN'S PAR.),Kilkenny,KK,KC,"Gateway, c.1875, comprising segmental-headed carriageway with pair of painted rusticated rendered piers having dentilated moulded cornices, tongue-and-groove timber panelled double doors (incorporating double doors to wicket gate) with decorative wrought iron hinges, moulded archivolt having keystone, raised lettering, tooled rendered panels, and moulded cornice to parapet having blocking course over.  Lane fronted.",A robustly-detailed gateway forming a picturesque feature in the streetscape of Jenkin's Lane: decorative accents with particular emphasis on the Classically-derived rendered dressings contribute significantly to the artistic design value of the composition while exhibiting high quality craftsmanship.,1865,1885,Regional,gates/railings/walls,250542,156146,650481,656189,52.65454155,-7.253889124,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12000087_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KK&regno=12000087,SURV009
12000088,Smithwick,43,Parliament Street,,Kilkenny,GARDENS (ST. JOHN'S PAR.),Kilkenny,KK,KC,"Terraced three-bay three-storey over basement red brick house, c.1775, with single-bay three-storey recessed end bay to right having round-headed carriageway to ground floor.  Part refenestrated, c.1900.  Now in use as offices.  One of a pair.  Pitched slate roofs (shared to main block) with clay ridge tiles, yellow brick Running bond and rendered chimney stacks, rendered coping, and cast-iron rainwater goods on moulded cut-limestone eaves having iron brackets.  Red brick Flemish bond walls with cut-limestone dressings including chamfered course to ground floor, quoins to ends, moulded course to eaves, and random rubble stone wall to rear (east) elevation.  Square-headed window openings with cut-stone sills, red brick voussoirs (red brick dressings to rear (east) elevation), six-over-six (first floor) and three-over-three (top floor) timber sash windows having replacement one-over-one timber sash windows, c.1900, to ground floor.  Round-headed door opening with three cut-limestone steps, cut-limestone Gibbsian surround, and timber panelled door having fanlight.  Round-headed carriageway with cut-limestone quoined voussoirs, and no fittings.  Interior with timber panelled shutters to window openings.  Road fronted with sections of wrought iron railings to front on cut-limestone plinth.","A well-composed substantial house built as one of a pair (with 12000089/KK-4766-09-89) incorporating Classically-derived proportions with the resulting diminishing in scale of the openings on each floor enhancing the elegant formal quality of the streetscape of Parliament Street.  Fine cut-limestone dressings further enlivening the external expression of the composition include an attractive doorcase displaying expert stone masonry.  Having been well maintained the house presents an early aspect with substantial quantities of the historic fabric surviving intact both to the exterior and to the interior, thereby contributing significantly to the character of the street scene.",1765,1785,Regional,house,250514,156133,650454,656177,52.65443334,-7.254293966,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12000088_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KK&regno=12000088,SURV009
