REG_NO,NAME,NUMBER,STREET1,STREET2,TOWN,TOWNLAND,COUNTY,COUNTY_ID,PLANAUTH,COMPOSITION,APPRAISAL,DATEFROM,DATETO,RATING,ORIGINAL_TYPE,X_COORD,Y_COORD,X_COORD_ITM,Y_COORD_ITM,LATITUDE,LONGITUDE,IMAGE_LINK,WEBSITE_LINK,SURVEY_ID
12802949,Abbeyleix House,,Abbeyleix Demesne,,,ABBEYLEIX DEMESNE,Laois,LA,LA,"Single-arch rubble stone hump back road bridge over river, c. 1840, with cut granite voussoirs.",,1830,1850,Regional,bridge,242021,182384,641962,682422,52.89102646,-7.376429879,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12802949_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LA&regno=12802949,SURV014
12802950,Abbeyleix House,,Abbeyleix Demesne,,,ABBEYLEIX DEMESNE,Laois,LA,LA,"Detached seven-bay three-storey over basement Classical style country house with dormer attic, begun 1773, with pedimented breakfront having cut stone Doric doorcase to ground floor. Five-bay elevation to garden front with breakfront having cut sandstone doorcase and Wyatt style window openings to flanking bays. Two-bay single-storey wing to west, renovated c. 1840, with façade enrichments added. Extended to west, post-1902, comprising seven-bay single-storey wing with breakfront having three-bay advanced centre bay.  Balustraded forecourt, c. 1840, to north.  Formal gardens, post-1839, to south comprising series of artificial terraces with balustrades, flights of steps and ha-has.",,1770,1780,National,country house,242256,182971,642197,683009,52.89628466,-7.372860855,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12802950_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LA&regno=12802950,SURV014
12802951,Abbeyleix House,,Abbeyleix Demesne,,,ABBEYLEIX DEMESNE,Laois,LA,LA,"Multiple-bay two-storey stable complex, c. 1800, on a quadrangular plan with courtyard. Pair of round-headed integral carriageways with belfry and ogee dome to east and series of elliptical-headed carriageways. Multiple-bay two-storey range, c. 1800, to east on a triangular plan with courtyard (kitchen) connecting to Abbeyleix House.  Detached four-bay single-storey rubble stone stable range, c. 1800, to west.",,1780,1820,Regional,stables,242209,183034,642151,683072,52.89685599,-7.373545151,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12802951_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LA&regno=12802951,SURV014
12803001,Tower Cross Roads Lodge,,Heywood Demesne,,,HAYWOOD DEMESNE,Laois,LA,LA,"Detached single-storey Georgian gate lodge, c. 1810. Extended, c. 1985. Gateway, c. 1810, to site with pair of flanking turrets having castellations.",,1775,1820,Regional,gate lodge,246580,182114,646520,682152,52.88822651,-7.308740319,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12803001_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LA&regno=12803001,SURV014
12803002,Heywood Gardens,,Heywood Demesne,,,HAYWOOD DEMESNE,Laois,LA,LA,"Freestanding limestone ashlar Gothic style obelisk, c. 1780, on a hexagonal plan on a circular plinth with inscribed mileage to shaft having pinnacle over with inscribed monogram.",,1770,1820,Regional,obelisk,246732,181967,646673,682005,52.88689041,-7.306497465,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12803002_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LA&regno=12803002,SURV014
12803004,Heywood Gardens,,Heywood Demesne,,,HAYWOOD DEMESNE,Laois,LA,LA,"Freestanding sham ruin folly, c. 1780, incorporating salvaged materials from Aghaboe friary, c. 1385.",,1775,1820,Regional,folly,246961,181908,646902,681946,52.88634247,-7.303104494,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12803004_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LA&regno=12803004,SURV014
12803005,Heywood Gardens,,Heywood Demesne,,,HAYWOOD DEMESNE,Laois,LA,LA,"Freestanding sham castle folly, c. 1780, with corner turrets on circular plans.",,1775,1820,Regional,folly,246974,181907,646915,681945,52.88633221,-7.302908985,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12803005_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LA&regno=12803005,SURV014
12803006,Heywood Gardens,,Heywood Demesne,,,HAYWOOD DEMESNE,Laois,LA,LA,"Freestanding five-bay Georgian Gothic summerhouse or orangery, c. 1780.",,1775,1820,Regional,summerhouse,247041,181850,646982,681888,52.88581661,-7.301924037,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12803006_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LA&regno=12803006,SURV014
12803007,Heywood Gardens,,Heywood Demesne,,,HAYWOOD DEMESNE,Laois,LA,LA,"Remains of stable complex, c. 1800, comprising pair of ten-bay two-storey parallel blocks with pair of arches to walled courtyards. Now in use as outbuildings.",,1780,1830,Regional,stables,247207,181731,647148,681769,52.8847278,-7.299473023,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12803007_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LA&regno=12803007,SURV014
12900622,Centra (Hibernian House),,Main Street,,Mountrath,MOUNTRATH (MB. W. BY.),Laois,LA,LA,"Terraced three-bay three-storey building, c. 1900, with timber shopfront to ground floor.",,1890,1930,Regional,shop/retail outlet,235354,194650,635297,694685,53.00171586,-7.474134925,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/12900622_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LA&regno=12900622,SURV014
