REG_NO,NAME,NUMBER,STREET1,STREET2,TOWN,TOWNLAND,COUNTY,COUNTY_ID,PLANAUTH,COMPOSITION,APPRAISAL,DATEFROM,DATETO,RATING,ORIGINAL_TYPE,X_COORD,Y_COORD,X_COORD_ITM,Y_COORD_ITM,LATITUDE,LONGITUDE,IMAGE_LINK,WEBSITE_LINK,SURVEY_ID
13000012,,,Battery Road,,Longford Town,ABBEYCARTRON,Longford,LF,LD,"Detached three-bay two-storey former Royal Irish Constabulary barracks, built in 1884, having a single-bay entrance porch with pitched roof to the centre of the front elevation (west).  Now in use as a house.  Three-bay single-storey annexe attached to the south gable (c. 1910) having a pitched artificial slate roof.  Two-bay single-storey extension to north gable having pitched artificial slate roof.  Extension to north now in use as a commercial premises.  Pitched artificial slate roof to main building with timber bargeboards and with a moulded brick chimneystacks to either gable end.  Remain sections of cast-iron rainwater goods.  Roughcast rendered walls; lined-and-ruled rendered finish to porch.  Square-headed window openings with replacement uPVC windows and painted sills.  Square-headed door opening to porch having a timber panelled door with an overlight above having vertical glazing bars.  Square-headed openings to annexe with three-over-six pane timber sliding sash windows having painted sills and a central half-glazed timber panelled door. Road-fronted to the north of Longford Town with multiple recent extensions to the rear (east).","This typical late nineteenth-century Royal Irish Constabulary barracks retains its early form and character. The simple form, clarity of lines and symmetrical elevation of this building help make it a pleasing composition.  The tall narrow window openings and the prominent brick chimneystacks lend it a distinctive character, making it a significant feature on Battery Road and adding to the historic feel of the streetscape to the north of Longford Town.  This building is of historical importance as a former Royal Irish Constabulary barracks, one of a number of examples of this building type still extant in County Longford.  This structure appears to have been out of use as an RIC barracks by 1914 (Ordnance Survey third edition map information).  The simple extension to the south adds to its character and completes the composition.  This barracks was known as Longford Town No. 2 Barracks in 1894 (Slater's Directory), when five officers where stationed here under the command of Sergeant John Hamilton.",1880,1885,Regional,garda station/constabulary barracks,213231,276444,613179,776462,53.73763611,-7.800242022,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/13000012_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LF&regno=13000012,SURV018
13000044,,,Battery Road,,Longford Town,ABBEYCARTRON,Longford,LF,LF,"End-of-terrace three-bay two-storey house, built c. 1870, having recent single-storey lean-to extension to rear (north).  One of a terrace of three along with the buildings adjacent to the west (13000017 and 13000043).  Pitched natural slate roof with rendered chimneystacks to either end.  Lined-and-ruled rendered walls.  Square-headed window openings with one-over-one pane timber sliding sash windows with stone sills.  Central segmental-headed door opening with rebated reveal having replacement door and an overlight with vertical glazing bars.  Set back from street with garden to front (south) and a yard to the rear (north). Rubble limestone wall to the south having chamfered limestone coping with cast-iron railings over.  Cast-iron pedestrian gate to the south.  Rubble limestone boundary wall to the east. Located to the north of Longford Town.","This modest late nineteenth-century house retains its early form, character and much of its salient fabric. The simple form, clarity of lines, and symmetrical elevation of this building make it a pleasing structure.  It is the best surviving example in a uniform terrace of three buildings (13000017 and 13000043). Buildings of this type are typical features of Irish townscapes.  The good quality cast-iron gates and railings add artistic interest to the streetscape.  The setting of the terrace at right angles to the main road makes it a significant feature on Battery Road.",1860,1880,Regional,house,213221,276491,613169,776509,53.73805826,-7.800396312,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/13000044_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LF&regno=13000044,SURV018
13001001,Sonas,,Battery Road,,Longford Town,ABBEYCARTRON,Longford,LF,LD,"Detached three-bay two-storey former Presbyterian/Methodist manse, built c. 1865, having iron trellis work open porch to the centre of the front façade (east) and a multiple-bay full-height two-storey extension with hipped roof to rear (west). Possibly later in use as a Church of Ireland rectory; now in use as a private house.  Shallow hipped slate roof with overhanging bracketed eaves and with two rendered chimneystacks to the centre.  Painted wet-dashed rendered walls over smooth rendered plinth.  Square-headed window openings having replacement windows and with tooled limestone sills.  Elliptical-headed door opening to the centre of the main façade having a timber panelled door flanked by timber pilasters and having a plain overlight.  Set back from road in extensive mature grounds to the north of Longford Town.  Rubble limestone boundary wall to the east.  Square-profile rendered piers to site entrance with double-leaf wrought-iron gates.","Although altered, this well proportioned mid nineteenth-century former Presbyterian/Methodist manse retains its early form and character. The symmetrical three-bay front elevation, the rounded door opening, the shallow hipped roof with overhanging eaves and the paired central chimneystacks are characteristic features of the typical mid-to-late nineteenth-century manse/rectory building.  This former manse was probably originally associated with the Methodist church (13001044) or the now demolished Presbyterian church to the south end of Battery Road.  It may have been later in use as a Church of Ireland rectory associated with St. John's Church of Ireland church (13002006) to the south (local information). It forms part of an attractive group of substantial houses, set in mature grounds, to the north of Longford Town and represents an integral component of the architectural heritage of the area.",1860,1870,Regional,manse,213163,276361,613111,776379,53.73689066,-7.801276362,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/13001001_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LF&regno=13001001,SURV018
13001004,Cartron Hill,,Battery Road,,Longford Town,ABBEYCARTRON,Longford,LF,LD,"Detached four-bay two-storey house with attic level, built in 1896, having a canted single-bay gabled breakfront to the centre of the front elevation, single-bay single-storey box bay window with crenellations to the west gable end, recent porch addition to rear (north) elevation with pitched artificial slate roof and multiple recent multiple-bay single-storey extensions to east gable.  Pitched artificial slate roofs with terracotta ridge crestings and finials, two diagonally-set brick chimneystacks, cast-iron rainwater goods and timber bargeboards.  Painted roughcast rendered walls over smooth rendered plinth and with a moulded brick string course at first floor level.  Mock half timbering to gable ends and to projecting breakfront at gable level.  Square-headed window openings with tooled limestone sills and having one-over-one pane timber sliding sash windows, some bipartite and some paired, all with quarrel glazed overlights.  Square-headed window opening with leaded textured glass to stairwell to rear elevation.  Square-headed doorway to canted projection having half-glazed timber double-doors with multi-paned overlight. Set back from road, aligned at a right-angle to road alignment, in extensive grounds to the north of Longford Town. Square-profile dressed stone piers with replacement gates and crenellated rubble stone boundary walls to road-frontage (west).","An attractive house with some Arts and Crafts influences, which retains its original form, character and much of its early fabric.  The late nineteenth-century/early twentieth-century construction date is evident in the attention to detail and by the degree of decoration.  The survival of the early windows and doors with multi-paned overlights is a noteworthy feature that further helps to distinguish this building.  The bay windows, the variety of window configurations, the ridge cresting and the diagonally-set chimneystacks add interest to the plan and elevation. The deliberate asymmetry is part of an ordered coherent scheme that is typical of late-Victorian period.  This structure forms part of an attractive group of substantial houses in mature grounds to the north of Longford Town and represents an integral component of the architectural heritage of the area. The proximity of this house to Longford Barracks hints that it may have been originally constructed for a British Army Officer.",1895,1900,Regional,house,213271,276361,613219,776379,53.73688596,-7.79963709,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/13001004_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LF&regno=13001004,SURV018
13001007,Elm Lodge,,Battery Road,Demense Lane,Longford Town,ABBEYCARTRON,Longford,LF,LD,"Detached three-bay single-storey over basement house, built c. 1830, having two-bay two-storey return to the rear (west).  Hipped artificial slate roof with a pair of rendered chimneystacks.  Painted lined-and-ruled rendered walls.  Square-headed window openings having limestone sills and with six-over-six pane timber sash windows to the front (east) elevation and side elevations (north and south) and two-over-two pane timber sash windows to the rear return (west).  Decorative cast-iron window guards to a number of the window openings to the rear return.  Central square-headed doorway to front elevation having timber panelled door and a plain overlight.  Doorway reached by flight of cut limestone steps.  Detached six-bay single-storey outbuilding and former coach house to rear (west), now derelict, with pitched slate roof, lime rendered rubble stone walls, square-headed window and door openings and a central elliptical-headed carriage arch with yellow brick voussoirs.  Cast-iron pump to yard to rear.  Set back from road in mature grounds to the north of Longford Town.  Rubble stone boundary walls to south and east.  Square-profile cut stone piers to site entrance having wrought-iron hooped double gates.","This well-proportioned single-storey house is of a type that was popular in Ireland during the Regency period of the early-nineteenth century.  The modestly sized front elevation dissimulates a substantial structure to the rear. It retains its early form, character and much of its early fabric, including good quality cast-iron window guards to a number of window openings to the rear.  Set in attractive mature grounds to the north of Longford, this structure is a worthy addition to the architectural heritage of the area. The now ruinous outbuilding/coach house to the rear and the unusual cast-iron water pump add the composition and complete the setting.",1825,1835,Regional,house,213141,276304,613089,776322,53.73637666,-7.801607973,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/13001007_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LF&regno=13001007,SURV018
13001010,Winston,,Demesne Lane,,Longford Town,DEMESNE,Longford,LF,LD,"Detached four-bay two-storey house on L-shaped plan, built 1897, having gable to front (south) elevation, and projecting gable to east elevation incorporating open internal porch, and with box bay windows with timber entablatures to south and east gables.  Recent pitched roof four-bay single-storey extension to north-east corner, running east-west.  Pitched slate roofs with petal slates, terracotta ridge tiles and terracotta grotesque finials, and red brick chimneystacks, with red brick and cut limestone chimney to west gable.  Smooth rendered walls to upper storey, with moulded render cornice to east gable, cut limestone walls with moulded red brick and cut limestone string courses to lower storey.  Glazed timber screen to east elevation of internal porch with cut limestone and timber pier, and decorative leaded glass.  Square-headed window openings with timber casement windows with toplights with coloured and leaded quarrel glazing.  Shouldered square-headed door opening with timber panelled door.  Bench to grounds with mosaic datestone.  Rubble stone walls and piers to entrance with wrought-iron gates.  Set back from road in own grounds.","An interesting and eclectic late nineteenth-century house with various Arts and Crafts influences, which retains its early form, character and early fabric.  The Arts and Crafts influence on this house is evident: the mixture of red brick and local stone, the irregular massing and plan, the multi-paned overlights, the decorative terracotta finials and the attention to detail are all part of the interest and illustrate the skills of craftsmanship in the late-nineteenth century.  The depiction of the River Nile on the glazed screen is an unusual feature in provincial Ireland.  It may be due to the taste for orientalism in the nineteenth century, and is a rare example of secular glass art in Ireland.  This fine structure was reputedly built by an English gentleman who worked in Foreign Office and, perhaps, the depiction of the Egyptian imagery illustrates/represents a previous posting.  This building is an integral element of the built heritage of Longford and forms part of an interesting collection of substantial dwellings, set in mature grounds, to the north end of Longford Town.",1895,1900,Regional,house,213063,276259,613011,776276,53.73597079,-7.802796113,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/13001010_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LF&regno=13001010,SURV018
13001019,Longford Town Presbyterian Graveyard,,Battery Road,,Longford Town,ABBEYCARTRON,Longford,LF,LD,"Presbyterian graveyard on triangular-plan, built c. 1810, now overgrown and out of use.  Number of inscribed memorials to interior.  Surrounded by modern wall to the rear of modern house.  Formerly located to the rear (west) of Presbyterian church/meeting house, now demolished.  Located to the north end of Longford Town.","This simple graveyard represents an interesting historical reminder of the once numerous Presbyterian community in Longford.  It is now overgrown and out of use.  It contains a number of well-carved upstanding cut stone memorials of mainly nineteenth and early twentieth-century, some of which are of artistic merit.  The earliest legible grave marker is to the Parks family, dated November 1813.  It (probably) forms a pair of related structures along with the former manse (13001001) to the north, and is an interesting feature of both social and historical importance to the north end of Longford Town.  It was originally sited to the rear (west) of a Presbyterian church/meeting house, which was built in the 1830s and demolished in the 1950s.  The church/meeting house reputedly catered for a large number of Presbyterian soldiers, from a Scottish regiment that was garrisoned at Sean Connolly Barracks to the south, during the second half of the nineteenth century.",1800,1860,Regional,graveyard/cemetery,213145,275993,613093,776011,53.7335838,-7.80156017,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/13001019_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LF&regno=13001019,SURV018
13001025,Cartron Abbey,,Battery Road,,Longford Town,ABBEYCARTRON,Longford,LF,LD,"Detached three-bay single-storey house, c. 1845, having an advanced single-bay gable-fronted  breakfront to the centre of the front façade (west) and a later two-storey extension attached to the north.  Hipped slate roof to main body of building with pitched roof to central breakfront.  Pair of chimneystacks to the centre of the main body of the building, flanking breakfront.  Lined-and-ruled cement rendered walls with raised quoins to the corners.  Square-headed window openings with cut stone sills and replacement windows.  Square-headed doorway to front elevation of breakfront having glazed timber door with Gothic panelling and with a cut stone hoodmoulding over.  Set back from road in extensive grounds to the north of Longford Town.  Complex of  farm outbuildings to the north. Pair of octagonal cut stone gate piers to gateway to the west.","A well-proportioned mid nineteenth-house with a subdued Gothic Revival feel, which retains its early character and form.  It forms part of an interesting group of substantial dwellings to the north end of Longford Town and is an integral element of the architectural heritage of the area.  The well carved cut stone gate posts add to the composition and complete the setting.  This house was the home of a John Crawford Esq. in 1850.",1840,1850,Regional,house,213251,276126,613200,776144,53.73477587,-7.799946782,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/13001025_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LF&regno=13001025,SURV018
13001026,Cartron Hall,,Battery Road,,Longford Town,ABBEYCARTRON,Longford,LF,LD,"Detached three-bay single-storey over basement house, built c. 1845, with single-storey entrance porch to the centre of the main façade (west), three-storey extension to rear (east) and with a three-bay single-storey entrance porch to the north elevation.  Hipped natural slate and artificial slate roofs with overhanging bracketed eaves.  Central pair of rendered chimneystacks and cast-iron rainwater goods.  Painted roughcast rendered walls to ground/upper floor, painted smooth rendered walls to basement.  Pointed segmental-headed windows to ground floor openings with six-over-six pane timber sliding sash windows with decorative heads, square-headed window openings to the basement openings.  Square-headed doorway to porch having a glazed timber panelled door. Doorway approached by a flight of steps flanked by parapet walls with lined-and-ruled smooth render finish.  Five-bay two-storey outbuilding to rear with central three-bay breakfront, pitched natural slate roof, random rubble stone walls and square-headed openings.  Lean-to roof with segmental carriage arch attached to south end of outbuilding.  Random rubble stone gate piers with cut stone coping over having wrought and cast-iron double leaf gates to road-frontage (west).  Carved stone bollards to driveway to west of house.  Situated in landscaped gardens to the north of Longford Town.  Carved stone bollards to driveway to west of house.","This attractive villa style mid nineteenth-century house retains its early character and charm.  It is of a type/form that was commonly built in the expanding suburbs of the large cities and towns, particularly Dublin, during the early-to-mid nineteenth century but which is relatively uncommon in the midlands.  The relative simplicity of its form is enlivened with fine examples of craftsmanship, including the joinery of the pointed segmental-headed timber sash windows, while the symmetry is visually pleasing.  In scale and form this house fits in with the character of the streetscape, and its sympathetic maintenance allows this contribution to continue. The substantial and unusual outbuilding, the entrance gates and the bollards to the driveway complete the setting of this fine composition.  Carton Hall previously had a gate lodge located to the south side of the entrance gates (Ordnance Survey third edition six-inch map, dated 1914), now no longer extant. The proximity of this house to Longford Barracks hints that it may have been originally constructed for a British Army Officer.",1840,1850,Regional,house,213267,276056,613216,776074,53.73414771,-7.799703713,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/13001026_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LF&regno=13001026,SURV018
13001027,St. Alban's,,Battery Road,,Longford Town,ABBEYCARTRON,Longford,LF,LD,"Detached three-bay two-storey house on L-shaped plan, built c. 1865, with projecting single-bay two-storey projection to the south end of the main façade (east) and with decorative cast-iron canopy to doorway.  Various single and two-storey extensions and glazed conservatories to rear (west).  Hipped and pitched slate roofs with overhanging eaves, two red brick chimneystacks and cast-iron rainwater goods.  Unpainted rendered walls with moulded render plinth and with raised render quoins to the corners.  Square-headed window openings with moulded render surrounds and having one-over-one timber sliding sash or timber casement windows.  Central round-headed entrance opening with painted moulded surround, timber panelled door and with plain fanlight over.  Elaborate cast-iron porch with Composite columns, barley sugar columns and fluted bases.  Stone flagged paving to front elevation.  Two-storey outbuilding/coach house to rear (west), having exposed roof timbers (covering removed), red brick chimneystack, and cast-iron rainwater goods.  Coursed limestone construction with brick reveals to the openings.  Square-headed window openings with stone sills, two-over-two timber sliding sash, and timber casement windows.  Square-headed entrance openings with timber battened door and sliding timber battened door.  Square-headed carriage arch to centre of main elevation (east).  Timber door with bowed glazed panel to south elevation, accessed by wrought-iron spiral staircase.  Set in landscaped surroundings, with cast-iron gateposts to driveway.  Random rubble stone boundary walls to the east.  Recessed gateway to the east having four rendered gate piers on square-plan with pyramidal capping over. Located to the north of Longford Town.","An elegant mid nineteenth-century house, which retains its original form and much of its characteristic fabric.  The moulded plinth course and stone flagged pavement demonstrate the great attention to detailing which this structure received.  Its sympathetic maintenance promotes its significance.  The aesthetic quality of this building is enhanced by the elaborate cast-iron porch, which is of artistic merit.  The interesting and substantial outbuilding is important in its own right, and forms part of a group with the house.  The iron posts to the driveway and the boundary wall complete the setting.  The proximity of this house to Longford Barracks hints that it may have been originally constructed for a British Army Officer.",1860,1870,Regional,house,213109,276089,613034,776107,53.73445033,-7.802450959,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/13001027_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LF&regno=13001027,SURV018
