REG_NO,NAME,NUMBER,STREET1,STREET2,TOWN,TOWNLAND,COUNTY,COUNTY_ID,PLANAUTH,COMPOSITION,APPRAISAL,DATEFROM,DATETO,RATING,ORIGINAL_TYPE,X_COORD,Y_COORD,X_COORD_ITM,Y_COORD_ITM,LATITUDE,LONGITUDE,IMAGE_LINK,WEBSITE_LINK,SURVEY_ID
20300301,P. Crowley,,Main Street,,Corrofin,BAUNKYLE,Clare,CL,CL,"End-of-terrace six-bay two-storey house, built c. 1790.  Timber shopfront inserted, c. 1900, to left hand side.  Now also in use as public house.  Pitched artificial slate roof with rendered chimneystacks.  Lime-washed walls.  Shopfront comprising timber pilasters flanking tripartite fixed window and timber panelled doors with overlights, having fascia, marbleised lettering and cornice above.  Timber panelled door with overlight to right hand side.  Timber sliding sash windows with stone sills.  Steps leading to entrance door.  Stone kerbing to footpath.  Attached single-bay single-storey lean-to outbuilding to left.",,1780,1800,Regional,house,128547,188693,528513,688730,52.94460134,-9.063630339,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/20300301_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=CL&regno=20300301,SURV023
20300302,Corrofin Bridge,,Corrofin,,Corrofin,BAUNKYLE,Clare,CL,CL,"Triple-arch hump-back road bridge over River Fergus, built c. 1790, with rubble stone walls, cut-stone voussoirs, coursed rubble buttresses and V-cutwaters.",,1780,1800,Regional,bridge,128650,188596,528616,688633,52.9437457,-9.062076049,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/20300302_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=CL&regno=20300302,SURV023
20300303,Richmond House,,Main Street,,Corrofin,BAUNKYLE,Clare,CL,CL,"Detached five-bay two-storey house with dormer attic, built c. 1800, prostyle diastyle Doric portico added, c. 1840.  Pitched slate roof with rendered chimneystacks, gabled dormer windows and cast-iron rainwater goods.  Lined-and-ruled rendered walls with render quoins.  Round-headed door opening having cut-granite Gibbsian door surround with fluted keystone.  Timber panelled and glazed double leaf doors with radial fanlight.  Timber sliding sash window.  Timber casement windows to dormers.  Cobbled yard to rear.  Detached four-bay two-storey rubble stone coach house with dormer attic, built c. 1790, having lunette window openings to first floor.  Extensively renovated and subdivided, c. 1995, to accommodate use as apartments.  Remains of detached single-bay two-storey rubble stone building, now in ruins.  Cut-stone gate piers with obelisk pinnacles.",,1780,1820,Regional,house,128615,188635,528562,688666,52.94403075,-9.062893932,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/20300303_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=CL&regno=20300303,SURV023
20300304,Sean Kenny and Sons,,Main Street,,Corrofin,KILVOYDAN,Clare,CL,CL,"Attached six-bay two-storey market house set on raised plinth, built 1876, incorporating fabric of earlier building, c. 1700.  Two-bay two-storey extension added to rear, c. 1985.  Pitched Moher flagged roof with rendered chimneystacks.  Single-pitched corrugated-iron roof to extension.  Rendered walls with cut-stone plinth and buttresses.  Inset crest and date plaque to front elevation.  Three round-headed openings to ground floor and square-headed openings to first floor, all with replacement timber windows.",,1875,1880,Regional,market house,128571,188704,528538,688741,52.94470058,-9.06327449,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/20300304_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=CL&regno=20300304,SURV023
20300305,Saint Brigid's Roman Catholic Church,,Main Street (off),,Corrofin,KILVOYDAN,Clare,CL,CL,"Freestanding T-plan gable-fronted double-height Roman Catholic church, dated 1822, with three-bay gable front and two-bay nave.  Two-bay single-storey sacristy added to rear, c. 1995, with inset archaeological fragment to exterior wall.  Pitched artificial slate roof with bellcote over entrance gable having cross finial, moulded gable copings and cast-iron rainwater goods.  Snecked stone walls with cut-stone quoins, niche to gable and blind openings flanking entrance door.  Rendered walls to transepts.  Four-centred arch door opening with timber sheeted double leaf doors, fanlight and label moulding.  Lancet window openings, set in tripartite arrangement over entrance door.  Replacement uPVC windows.  Retaining interior features.  Cut-stone gate piers set in rubble stone walls to site.",,1820,1825,Regional,church/chapel,128595,188721,528561,688758,52.9448562,-9.062926115,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/20300305_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=CL&regno=20300305,SURV023
20300306,Clare Heritage Centre,,Main Street (off),,Corrofin,LAGHTAGOONA,Clare,CL,CL,"Freestanding Church of Ireland church, built c. 1715, comprising four-bay double-height nave, with single-bay three-stage entrance tower and spire and single-bay single-storey vestry, added 1829.  Two-bay single-storey wing added, 1979-1982, to accommodate use as heritage centre.  Pitched slate roof with profile stone copings.  Needle spire and pinnacles to tower.  Rendered walls, render quoins and render architraves to nave.  Snecked limestone walls with corner buttresses, string courses and cut-stone window dressings to tower.  Carved memorial stone plaque beside door to extension.  Pointed arch door opening with timber doors and carved hood moulding.  Lancet windows with timber sliding sash windows.  Tripartite lancet chancel window with leaded stained glass.  Retaining interior features including marble memorials, timber pulpit, chancel arch and panelled gallery.  Graveyard to site with various cut-stone grave markers.  Cut-stone piers to site.",,1710,1720,Regional,church/chapel,128633,188798,528599,688835,52.94555692,-9.062377138,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/20300306_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=CL&regno=20300306,SURV023
20300308,Cahirs,,Main Street,,Corrofin,BAUNKYLE,Clare,CL,CL,"Terraced two-bay two-storey house, built c. 1870, timber pubfront inserted, c. 1920.  Pitched artificial slate roof with rendered chimneystack.  Lined-and-ruled rendered walls.  Shopfront comprising pilasters flanking fixed window and timber panelled half glazed door with fascia and moulded cornice above.  Timber panelled door with overlight.  Timber sliding sash windows with stone sills.  Thick stone flag forms bridge over drain in footpath to front.",,1860,1880,Regional,house,128312,188867,528278,688904,52.94612845,-9.067169754,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/20300308_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=CL&regno=20300308,SURV023
20300313,Studdert Mausoleum,,Main Street (off),,Corrofin,LAGHTAGOONA,Clare,CL,CL,"Freestanding single-bay single-storey part-sunken granite cut-stone Studdert family mausoleum, built c. 1820.  Recessed central cast-iron door flanked by engaged columns, approached by flight of steps and with inscribed plaque above.  Stepped pyramidal roof.",,1800,1840,Regional,mausoleum,128664,188818,528630,688856,52.94574402,-9.061929639,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/20300313_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=CL&regno=20300313,SURV023
20000001,O'Connell Monument,,O'Connell Street,,Ennis,CLONROAD BEG,Clare,CL,EN,"Monument to Daniel O'Connell, erected 1867, in the form of a Roman Doric column set on a square-plan base having inset panels and surmounted with a limestone statue of a cloaked figure with raised hand facing up O'Connell Street.  The statue stands on a drum decorated with a scroll of shamrocks.  Set on the site of former courthouse, demolished 1852.",,1865,1870,National,monument,133846,177462,533811,677502,52.84437922,-8.982533985,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/20000001_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=CL&regno=20000001,SURV023
20000002,Bank of Ireland,,O'Connell Square,,Ennis,CLONROAD BEG,Clare,CL,EN,"Corner-sited ten-bay three-storey purpose-built bank and bank manager's house, built 1874, with entrance bay set in curved corner.  Main façade comprises two-bays on each street flanking the entrance bay.  Five-bay block forms a subsidiary block along Bank Place.  Pitched slate roof.  Cut-limestone walls to ground floor, having cut-limestone pilasters with capitals and scrolls above, flanking the main façade openings.  Red brick walls to upper floors.  Limestone cornice and string courses between floors.  Timber panelled door and overlight set in recessed opening.  Timber sliding sash windows.  Segmental-arched openings to ground floor.  Square-headed openings with limestone architraves to first floor, having segmental pediments to main façade openings.  Segmental-arched openings to second floor with limestone architraves.  Retaining interior features.",,1870,1875,Regional,bank/financial institution,133806,177482,533771,677521,52.84454955,-8.983130241,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/20000002_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=CL&regno=20000002,SURV023
