REG_NO,NAME,NUMBER,STREET1,STREET2,TOWN,TOWNLAND,COUNTY,COUNTY_ID,PLANAUTH,COMPOSITION,APPRAISAL,DATEFROM,DATETO,RATING,ORIGINAL_TYPE,X_COORD,Y_COORD,X_COORD_ITM,Y_COORD_ITM,LATITUDE,LONGITUDE,IMAGE_LINK,WEBSITE_LINK,SURVEY_ID
21300305,Kilnaughtin Church,,Church Street,,Tarbert,TIERACLEA LOWER,Kerry,KE,KE,"Freestanding cruciform-plan double-height stone-built Church of Ireland church, built c. 1800, with single-bay three-stage tower to west gable end originally two-stage having base batter and single-bay full-height polygonal apse to east gable end.  Extended to north in 1814, comprising single-bay double-height polygonal transept with single-bay single-storey gabled projecting porch to west elevation.  Renovated, c. 1830, with third stage added to tower having crenellated parapet and corner pinnacles.  Extended to south, c. 1865, comprising single-bay double-height gabled transept with single-bay single-storey gabled porch and two-bay single-storey lean-to vestry added to west.  Pitched and hipped artificial slate roofs with gable parapets to south transept and south porch.  Ashlar stepped parapet to tower with corner pinnacles.  Random rubble stone walls with cement repointing, projecting eaves course, snecked rock-hewn ashlar walls to south transept.  Roughcast rendered walls to tower and battered base.  Pointed arched openings with limestone sills, timber ""Y"" tracery and leaded glazed panels.  Tracery window to south transept.  Projecting gabled porch with limestone pediment, datestone and limestone door surround.  Graveyard to site with various cut-stone grave markers, c. 1800-present.  Gateway to north, built c. 1800, comprising pair of rubble stone piers with wrought-iron gates.  Gateway to south, built c. 1860, comprising pair of granite ashlar Gothic Revival style piers with cast-iron gates.",,1780,1820,Regional,church/chapel,107326,147354,507297,647400,52.57000074,-9.367537654,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21300305_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KE&regno=21300305,SURV016
21300306,Tarbert Heritage Centre,,,,Tarbert,TARBERT,Kerry,KE,KE,"Detached seven-bay single- and two-storey former courthouse and bridewell, built 1831, now in use as heritage centre.  Comprising three-bay two-storey advanced central block with two-bay single-storey flanking lateral wings with attics.  Renovated and extended with pair of two-bay single-storey flat-roofed pavilion blocks at right angles to wings, incorporating fabric of former enclosed yards.  Pitched and hipped slate roof with clay ridge tiles and central ashlar chimneystack.  Snecked rubble sandstone walls with hammered limestone quoins and projecting eaves course.  Timber nine-over-nine and six-over-six pane sliding sash windows with raised limestone ashlar surrounds, lintels and sills.  Lunettes to wings with ashlar surrounds.  Grilles to lunettes and first floor windows.  Square-headed doorway with limestone surround.  Rubble boundary wall with hammered limestone quoins and cobbled capping.  Plinth wall to front with replacement steel railings.  Rusticated limestone gateway with ashlar hood moulding and carved plaque.",,1830,1835,Regional,court house,106728,147776,506699,647822,52.57368727,-9.376474904,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21300306_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KE&regno=21300306,SURV016
21300307,,,,,Tarbert,TIERACLEA LOWER,Kerry,KE,KE,"Remains of detached four-bay single-storey former creamery, built c. 1860, possibly originally of more storeys, and having pair of segmental-headed integral carriage arches.  Now ruinous and in use as boundary wall.  No roof.  Random squared rubble walls.  Segmental-arched opening to left, arch to right removed, both archways with impost capitals.  Square-headed window openings with ashlar voussoirs and sills, having iron grille to left window and remains of one-over-one pane sliding sash.  Rubble boundary wall encloses site on all sides.",,1850,1870,Regional,creamery,106806,147774,506777,647820,52.57367897,-9.375327436,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21300307_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KE&regno=21300307,SURV016
21300308,,,,,Tarbert,DOONARD LOWER,Kerry,KE,KE,"Remains of detached five-bay single-storey rubble stone-built former industrial building, built c. 1860, possibly originally of more storeys with pair of segmental-headed integral carriage arches.  Now ruinous and in use as boundary wall.  No roof.  Squared rubble stone and part rendered walls.  Attached gateway to south comprising pair of stone piers with segmental-headed opening having parapet, blocking course and on piers with impost capitals and wrought-iron gate.  Square-headed blind openings to north with stone voussoirs.  Arched gateways to south facade.  Rubble stone boundary wall to west and north of site.  Part of east wall removed and building inserted in latter part of twentieth century.",,1850,1870,Regional,building misc,106698,147721,506668,647767,52.57318499,-9.376908595,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21300308_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KE&regno=21300308,SURV016
21300309,Coolahan,,Bridewell Street,,Tarbert,TIERACLEA LOWER,Kerry,KE,KE,"Terraced two-bay three-storey house, built c. 1900, now also in use as public house.  Built as part of a terrace of three houses.  Pitched artificial slate roof with red brick chimneystack.  Rendered walls to ground floor with roughcast rendered walls to upper floors.  Timber pilaster pubfront to right ground floor having consoles, dentilated moulded cornice, fascia signboard, timber three-pane display window and timber panelled door with overlight.  Painted stone sills and rendered reveals to replacement windows.  Square-headed doorway with panelled door and overlight.  Street frontage.",,1885,1915,Regional,house,106835,147661,506805,647707,52.57266863,-9.374869346,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21300309_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KE&regno=21300309,SURV016
21300310,Tarbert House,,,,,TARBERT,Kerry,KE,KE,"Detached seven-bay three-storey over part-raised basement early-Georgian house, built c. 1720, with three-bay side elevations.  Door opening to centre originally approached by flight of steps.  Renovated and possibly refenestrated, c. 1890, with single-bay single-storey projecting glazed porch added.  Pitched and hipped slate roof with central valley, having rendered chimneystack.  Painted roughcast rendered walls.  Timber one-over-one pane sliding sash windows with render architraves.  Two-pane windows to basement with iron bars.  Limestone architrave to doorway, with timber panelled double-leaf door, limestone steps and glazed timber porch, built c. 1890.  Retaining interior features.  Detached single-bay single-storey rubble stone-built outbuilding, built c. 1840, to south-east.  Detached six-bay two-storey rubble stone-built stable block, built c. 1840, to south-west retaining original fenestration with elliptical-headed integral carriage arch to ground floor.  Gateway to south-west, built c. 1840, comprising pair of cut-stone octagonal piers with wrought-iron gates.  Gateway to south-east, built c. 1840, comprising pair of cast-iron piers with decorative cast-iron gates and railings.",,1700,1740,Regional,house,107254,148420,507224,648466,52.57956318,-9.36890852,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21300310_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KE&regno=21300310,SURV016
21300401,,,,,,TULLAMORE,Kerry,KE,KE,"Detached four-bay single-storey house with dormer attic, built c. 1885.  Pitched slate roof with artificial slate patching and rendered chimneystack.  Limewashed rubble stone walls.  Timber sliding sash and replacement windows.  Timber boarded door.  Farmyard to rear.",,1870,1900,Regional,house,89637,143741,489611,643788,52.53424731,-9.627125985,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21300401_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KE&regno=21300401,SURV016
21300402,,,,,,BARNADARRIG,Kerry,KE,KE,"Detached four-bay single-storey house, built c. 1870.  Originally thatched, now having pitched corrugated-iron roof with rendered chimneystack.  Painted rendered walls.  Timber two-over-two pane sliding sash windows.  Timber boarded door.  Attached single-bay single-storey rubble stone-built outbuilding to west.  Related farm buildings to west.",,1850,1890,Regional,house,89478,140837,489452,640885,52.50812638,-9.628502291,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21300402_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KE&regno=21300402,SURV016
21300403,,,,,,RAHOONAGH,Kerry,KE,KE,"Detached three-bay single-storey Local Authority house with dormer attic, built c. 1910, now derelict.  Pitched and half-hipped slate roof with clay ridge tiles and rendered chimneystack.  Painted rendered walls.  Timber two-over-two pane sliding sash windows with painted sills, now mainly boarded up.  Replacement timber flush door.  Attached two-bay single-storey flat-roofed outbuilding, built c. 1940, to east with corrugated-iron roof.  Single-storey sheds, built c. 1950 to east.  Rendered garden wall.",,1900,1920,Regional,house,88101,138567,488075,638616,52.4874597,-9.648015901,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21300403_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KE&regno=21300403,SURV016
21300407,,,,,Doon,DOON WEST,Kerry,KE,KE,"Freestanding T-plan double-height barn-type former Roman Catholic church, built 1830, now partly dismantled, with entrance bay remodelled to accommodate use as barn building.  Comprising two-bay double-height nave with lancet arch window openings, single-bay double-height transepts to north and to south elevations and entrance bay to east gable end having bellcote over gable.  Pitched intersecting graded slate roof with clay ridge tiles and limestone bellcote.  Coursed random rubble walls. Pointed arch openings, all window and door frames removed.  Large opening formed in east wall with concrete lintel and reveals.  Churchyard to site now in use as farmyard.  Rendered rubble walls with curving walls flanking entrance to site.",,1825,1835,Regional,church/chapel,86596,142773,486571,642820,52.52492512,-9.67158491,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21300407_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=KE&regno=21300407,SURV016
