REG_NO,NAME,NUMBER,STREET1,STREET2,TOWN,TOWNLAND,COUNTY,COUNTY_ID,PLANAUTH,COMPOSITION,APPRAISAL,DATEFROM,DATETO,RATING,ORIGINAL_TYPE,X_COORD,Y_COORD,X_COORD_ITM,Y_COORD_ITM,LATITUDE,LONGITUDE,IMAGE_LINK,WEBSITE_LINK,SURVEY_ID
21511022,Cloneen,,Ennis Road,,Limerick,LIMERICK MUNICIPAL BOROUGH,Limerick,LI,LC,"Semi-detached two-bay three-storey house, built c. 1910, facing south with a two-storey three-sided canted bay window to a full-height gabled breakfront. Entrance porch with covered balcony above. Two-storey return. Hipped gabled slate roof with terracotta ridge tiles and a substantial red brick chimneystack on party wall shared with neighbouring house. Profiled cast-iron rainwater goods and a timber finial to front gable. Over-hanging eaves to front with timber bracket supports to gable. Dormer to rear span, c. 1970. Pebbledash rendered walls to front elevation at first and second floor level, with red brick laid in English garden wall bond to ground floor level of façade, side and rear elevation of main house and return. Timber struts rise from bressumer on gable of breakfront. Varied window types including elaborate timber casements to bay window at ground floor level, fixed-pane window to oculus over first floor balcony, tripartite part segmental-headed opening with uPVC casement. Flush entrance porch with limestone lintel, glazed aluminium porch doors. Square-headed door opening, with flat-panelled timber door leaf having glazed upper panels and glazed overlight. Site enclosed from Ennis Road by snecked rubble limestone plinth wall with coping supporting wrought-iron railings. Wrought-iron pedestrian gate with name plate hung from cast-iron gate posts. Rusticated corner limestone pier with embedded ball finial.","Elaborately detailed early twentieth-century suburban house, forming one of a row of semi-detached houses of similar scale and detailing. Fine plinth wall and railings run the length of the row. The development, by Clifford Smith, is evidence of the middle class wealth in the City at the time.",1900,1920,Regional,house,156765,157507,556725,657551,52.66740308,-8.639789364,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21511022_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LI&regno=21511022,SURV021
21511023,Rossard,,Ennis Road,,Limerick,LIMERICK MUNICIPAL BOROUGH,Limerick,LI,LC,"Semi-detached two-bay three-storey house, built c. 1910, facing south with a single-storey three-sided bay window to a full-height gabled breakfront, with balcony above. Entrance porch with three-sided bay window above. Two-storey return. Hipped gabled artificial slate roof with terracotta ridge tiles and a substantial rendered chimneystack on party wall shared with neighbouring house. Profiled uPVC rainwater goods and a timber finial to front gable. Over-hanging eaves to front with timber bracket supports to gable. Rooflight to rear span, c. 1990. Red brick laid in English garden wall bond to ground and first floor level of façade, and side and rear elevation of main house and return. Pebbledash rendered walls to front elevation at second floor level, with timber struts rise from bressumer on gable of breakfront. Square-headed window openings with stop-chamfer limestone ashlar lintels to ground and first floor level, timber framed bay to first floor over porch, and replacement uPVC windows throughout. Original twelve-over one timber sash windows to bay window at ground floor level.  Red brick entrance porch with plinth wall having limestone coping, supporting timber porch screen, tiled porch floor. Raised and fielded panelled timber door and glazed segmental overlight. Site enclosed from Ennis Road by snecked rubble limestone plinth wall with coping supporting wrought-iron railings. Wrought-iron pedestrian gate with name plate hung from cast-iron gate posts. Rusticated corner limestone pier with embedded ball finial.","Elaborately detailed early twentieth-century suburban house, forming one of a row of semi-detached houses of similar scale and detailing. Fine plinth wall and railings run the length of the row. The development, by Clifford Smith, is evidence of the middle class wealth in the City at the time.",1900,1920,Regional,house,156773,157508,556733,657552,52.66741006,-8.639671299,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21511023_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LI&regno=21511023,SURV021
21511024,Moravan,,Ennis Road,,Limerick,LIMERICK MUNICIPAL BOROUGH,Limerick,LI,LC,"Semi-detached two-bay three-storey house, built c. 1910, facing south with a single-storey three-sided bay window to a full-height gabled breakfront, with balcony above. Entrance porch with three-sided bay window above. Two-storey return prolonged by single-storey extension. Hipped gabled artificial slate roof with terracotta ridge tiles and a substantial rendered chimneystack on party wall shared with neighbouring house. Profiled cast-iron rainwater goods and a timber finial to front gable. Over-hanging eaves to front with timber bracket supports to gable. Dormer window to rear span. Red brick laid in English garden wall bond to ground and first floor level of façade only, with pebbledash rendered walls at second floor level, with timber struts rise from bressumer on gable of breakfront. Cement rendered side and rear elevation of main house and return. Square-headed window openings with stop-chamfer limestone ashlar lintels to ground and first floor level, timber framed bay to first floor over porch, and replacement uPVC windows throughout.  Red brick entrance porch with plinth wall having limestone coping, supporting timber porch screen, tiled porch floor. Raised and fielded panelled timber door and glazed segmental overlight. Site enclosed from Ennis Road by snecked rubble limestone plinth wall with coping supporting wrought-iron railings. Wrought-iron pedestrian gate with name plate hung from cast-iron gate posts. Rusticated corner limestone pier with embedded ball finial.","Elaborately detailed early twentieth-century suburban house, forming one of a row of semi-detached houses of similar scale and detailing. Fine plinth wall and railings run the length of the row. The development, by Clifford Smith, is evidence of the middle class wealth in the City at the time.",1900,1920,Regional,house,156781,157507,556741,657551,52.66740602,-8.639551635,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21511024_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LI&regno=21511024,SURV021
21511025,,,Ennis Road,,Limerick,LIMERICK MUNICIPAL BOROUGH,Limerick,LI,LC,"Detached three-bay three-storey red brick and rendered house, built c. 1910, with two two-storey three-sided bay windows with half-dormer windows above, flanking the centre entrance bay. Substantially extended to rear with two-storey and single-storey extensions. Hipped gabled slate roof (re-slated c. 2000) with terracotta ridge tiles. Hipped slate bay roofs with clay ridge tiles. Four red brick chimneystacks, two to front span, symmetrically placed to articulate the entrance bay, each with a stringcourse and stepped capping with render flaunching and plain clay pots. Red brick walls to ground floor laid in English garden wall bond, with limestone stringcourse delineating first floor level. Pebbledash rendered walls at first and second floor level. Smooth rendered walls to side and rear. Square-headed openings to bay windows with red brick flat arches and reveals to ground, rendered surrounds to first, continuous limestone sill course and timber casement windows. Timber-framed oriel three-sided canted window supported on painted corbels over front door, with leaded coloured glass casements. Square-headed window openings to second floor level, rendered reveals, limestone sills, and bipartite timber casements. Round-arched opening with chamfered red brick arch and reveals giving access to recessed porch with tiled floor. Square-headed doorcase with frosted glass sidelights over panelled timber bases, multiple-pane tripartite overlight and panelled timber door with glazed upper panels. Site enclosed from Ennis Road by squared and snecked limestone plinth wall with limestone coping supporting wrought-iron railings with cast-iron gate posts supporting wrought-iron gates.","This house is the largest of the houses on this stretch of the Ennis Road, and forms one of a group of houses of similar typology. Fine plinth wall and railings run the length of the row. The development, by Clifford Smith, is evidence of the middle class wealth in the City at the time.",1900,1920,Regional,house,156792,157507,556752,657551,52.66740191,-8.639393736,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21511025_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LI&regno=21511025,SURV021
21512001,Tippe Canoe/Carlton Coffee,,Henry Street,Shannon Street,Limerick,LIMERICK MUNICIPAL BOROUGH,Limerick,LI,LC,"Corner-sited detached gable-fronted six-storey single-bay former corn store, built c. 1790, with an attic storey, and eight-bay side elevation, prolonged by a single-bay to east rising to four storeys. Mill converted to retail use at ground level and residential above, c. 1995. Pitched natural slate roof with cement coping to gables and cast-iron rainwater goods, gutters supported on stepped brick eaves course. Random rubble limestone walls with squared quoins and several cast-iron lateral tension wall ties. Replacement brick to segmental-arched window openings, with rendered reveals, metal sills and metal casement windows. Loop-hole to gabled elevation amended to form a balcony on intermediate level, with recessed glazed door and window openings. Steel joists supporting balcony deck and glass parapets. Additional loop-hole to eastern end bay with same treatment. Three limestone faced shopfronts with metal-framed display windows and door opening.","Having a significant presence on the streetscape of both Henry Street and Shannon Street, this former corn store is an important example of the wealth of eighteenth- and nineteenth-century industrial buildings in Limerick City. It is located adjacent to the estuary, and most likely functioned as a store for goods entering or existing the city. While it appears to be more than mere façade retention, the conversion to apartments and shops has ensured its survival on the Limerick streetscape.",1780,1800,Regional,store/warehouse,157472,157006,557433,657048,52.66294115,-8.629250615,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21512001_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LI&regno=21512001,SURV021
21512002,The Old Maternity Hospital,,Bedford Row,Henry Street,Limerick,LIMERICK MUNICIPAL BOROUGH,Limerick,LI,LC,"Corner-sited detached four-bay three-storey over basement house, built c. 1815, with a stone doorcase and railings enclosing front elevation, and return to rear forming three-bay three-storey over basement street-fronting side elevation. Formerly in use as a maternity hospital. Pitched tar covered M-profile slate roof, with intersecting return roof. Cast-iron rainwater goods. Painted ruled and lined cement rendered walls with quoining to sides, c. 1980, and limestone coping to parapet wall. Rubble limestone basement elevation of façade, randomly coursed section beneath snecked and coursed upper section, rendered to side with painted limestone plinth course delineating ground floor level. Square-headed window openings with painted stone sills and replacement hardwood windows. Round-headed door opening inset with a limestone doorcase comprising three-quarters engaged Doric columns and supporting fluted frieze with paterae, breaking forward over columns. Lead detailed zinc fanlight with crown glass. Replacement panelled timber door leaf. Limestone steps accessing front door flanked by wrought-iron railings which return to enclose front site basement area. Hospital subsequently demolished.","This is a fine Georgina townhouse with an austere side elevation facing onto Henry Street. With its strong façade composition and well composed limestone doorcase this house contributes significantly to the streetscape, particularly at such a prominent  corner site, where Georgian Limerick meets the new high rise Limerick that is Henry Street.",1800,1830,Regional,house,157512,157074,557472,657118,52.66356932,-8.628691689,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21512002_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LI&regno=21512002,SURV021
21512003,Limerick Travel,11-Dec,Bedford Row,,Limerick,LIMERICK MUNICIPAL BOROUGH,Limerick,LI,LC,"Terraced four-bay four-storey building, built c. 1830, originally forming two two-bay houses, incorporated into the one composition, c. 1940, when the front elevation was given an Art Deco finish. M-profile roof hidden behind a parapet wall with three rendered chimneystacks to the front pitch and cast-iron hopper and downpipe. Painted ruled and lined rendered walls. Square-headed window openings with painted stone sills to third floor and uPVC windows throughout. Moulded stucco architrave on block ends links window openings at first and second floor level, with fluted window apron panels beneath. Polished marble-faced shopfront, erected c. 1995, with separate door opening accessing the upper floors.","The Art Deco façade composition of this building belies two late Georgian former townhouses, adding to the architectural palimpsest. The building adds significantly to the architectural heritage of the streetscape, which has a concentration of Art Deco architecture. This includes the neighbouring former cinema, itself an early nineteenth-century Methodist church, behind the façade.",1820,1940,Regional,office,157560,157089,557520,657133,52.66370701,-8.627989112,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21512003_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LI&regno=21512003,SURV021
21512004,Grand Central Cinema,,Bedford Row,,Limerick,LIMERICK MUNICIPAL BOROUGH,Limerick,LI,LC,"Attached three-bay three-storey former cinema, façade built c. 1930, to the front of a former Methodist chapel, built c. 1820, which has been incorporated within. Pitched roof of meeting house, obscured by Art Deco façade parapet. Cast-iron rainwater goods. Limestone ashlar crow-stepped gable of façade survives behind existing façade which is pebbledash rendered with smooth render detailing. Curvilinear parapet to parapet wall with stringcourse delineating second floor and parapet level, with rusticated quoins to sides. Original meeting house elevation facing lane, with squared rubble limestone walls, with localised cement rendering. To façade, boarded-up square-headed window openings at first floor, and oculi to second floor, each with label stop hood moulding, rendered sills to first floor openings, and centrally-hung pivoting steel-framed windows to oculi. Blocked-up pointed arch brick formed openings to side elevation, with limestone sills. Additional window openings, c. 1950. Trace of one ogee-arched brick formed opening survives, with door opening, c. 2000, cutting through. Shopfront with canted fascia, c. 2000.","While this early twentieth-century façade is interesting in itself, it is the earlier Gothick Revival façade of the Methodist preaching house, which is historical and architecturally more significant. Together the two quite disparate developments form an unsettling, though noteworthy, essay in the adaptation of religious buildings to secular uses. The Methodist Church was established in 1739 by John Wesley, as an evangelical Protestant Christian cultivation. The first conference of the Irish Methodists Church was held in Limerick in 1752, and it was chaired by John Wesley.",1820,1920,Regional,church/chapel,157572,157084,557532,657127,52.66366082,-8.627810738,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21512004_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LI&regno=21512004,SURV021
21513025,Newsoms,20,Denmark Street,,Limerick,LIMERICK MUNICIPAL BOROUGH,Limerick,LI,LC,"Attached three-bay seven-storey former corn warehouse, built c. 1800, with a central hoist opening rising the full-height of the elevation above ground floor level. Single-pitched replacement roof, c. 1960 resulting in the cropping of the front elevation at eaves level. No rainwater goods. Random rubble limestone walls with red brick eaves course, and squared quoins to the corners. Central camber-arched brick-framed loophole, blocked up at sixth floor level, and having tongued and grooved timber-panelled doors to third forth and fifth floor level, modern windows to first and second floor level. Segmental-arched window openings throughout with red brick arches and reveals and timber casement windows.","A substantial stone corn store that remains relatively intact despite the loss of the original roof structure. It stands, along with other surviving industrial buildings in the area, as testimony to Limerick's industrious past.",1790,1820,Regional,store/warehouse,157825,157053,557785,657097,52.66340309,-8.624066198,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21513025_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LI&regno=21513025,SURV021
21513026,Nancy Blake's,19,Upper Denmark Street,,Limerick,LIMERICK MUNICIPAL BOROUGH,Limerick,LI,LC,"Attached three-bay three-storey rendered public house, built c. 1820, on a L-shaped plan, with nineteenth-century timber shopfront and carriage arch at ground floor level. Pitched artificial slate roof hidden behind parapet wall. Two rendered chimneystacks. Metal gutter and cast-iron downpipes. Raised parapet wall with painted ruled and lined rendered walls. Square-headed window openings with painted sills and uPVC sash windows. Timber shopfront comprising four panelled pilasters supporting timber name plate with profiled timber cornice above. Pilasters flank multiple-paned timber framed display window over rendered stall riser, blank rendered panel with painted crest and pub door comprising flat-panelled timber door with glazed overlight with cylinder glass. Three-centred carriage arch with plain rendered reveals, and early double-leaf plank timber door having integrated pedestrian door, which gives access to courtyard space enclosed to west by large limestone mill building. Square-headed window openings with painted rendered reveals, painted sills and replacement uPVC sash style windows. Street lamps attached to façade.","This rendered house may once have been associated with the adjacent corn store to the west. While the exterior is plain and relatively unadorned, the shopfront is significant. The building adds significantly to the streetscape of Denmark Street which has been all but cleared of its historic building stock.",1800,1840,Regional,house,157842,157057,557801,657100,52.66343926,-8.623821545,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/21513026_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=LI&regno=21513026,SURV021
