REG_NO,NAME,NUMBER,STREET1,STREET2,TOWN,TOWNLAND,COUNTY,COUNTY_ID,PLANAUTH,COMPOSITION,APPRAISAL,DATEFROM,DATETO,RATING,ORIGINAL_TYPE,X_COORD,Y_COORD,X_COORD_ITM,Y_COORD_ITM,LATITUDE,LONGITUDE,IMAGE_LINK,WEBSITE_LINK,SURVEY_ID
22101001,,,Chapel Street,,Cappawhite,CAPPAGH (DONOHILL PR),Tipperary,TS,TS,"Detached west-facing gable-fronted cruciform-plan Roman Catholic church, built 1826, with three-bay nave, two-bay transepts with porches to west elevations, single-bay chancel.  Now disused.  Pitched slate roof with decorative cast-iron ridge crestings, having smooth rendered eaves course, cut stone bellcote to gable-front and cut stone cross finials to gables.  Ruled-and-lined rendered walls, painted to front façade and porch elevations.  Dressed limestone stepped diagonal buttresses to corners of gable-front.  Carved limestone wall plaque and stoup to gable-front and font, latter having painted rendered hood moulding.  Pointed arch window openings, all boarded up and some having stained glass and window to gable-front having painted render hood moulding.  All windows have cut limestone and painted stone sills.  Carved stone tracery, comprising pointed trefoil-headed and ogee-arched lancets surmounted by quatrefoil, to windows in transept gables and gable-front, visible from interior.  Four-centred arched main door opening, having painted rendered hood-moulding and square-headed timber battened door, with timber overdoor.  Square-headed timber battened doors to porches and to north elevation of nave.  Barrel-vaulted ceilings to interior.  Sculpted marble reredos with ogee-detail decorative painted wall and flanked by carved timber ogee arches.  Decorative painted detailing to internal window reveals on façade and transept gable ends.  Graveyard and rubble limestone grotto to site.  Rubble limestone boundary walls with cast-iron gate piers and double-leaf gates, and dressed limestone plinths with cast-iron railings.","Though now derelict, this church building retains many attractive features and materials including roof mounted cut limestone crosses and bellcote, ornate carved tracery to windows (currently hidden by temporary boarding) and particularly fine interior detailing including a sculpted marble reredos and decorative painted panels.  Recessed from the road behind attractive ornate gates and railings, this church and its curtilage of graveyard and grotto, form an interesting group of Roman Catholic structures set on a pleasantly-matured and quiet landscaped site.",1825,1830,Regional,church/chapel,188866,147923,588823,647965,52.58285481,-8.164921509,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/22101001_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=TS&regno=22101001,SURV020
22101002,W. Hayes,,Limerick Street,,Cappawhite,CAPPAGH (DONOHILL PR),Tipperary,TS,TS,"Detached former pair of two-bay and three-bay two-storey houses with former shopfronts to ground floors, built c. 1880, now disused, with single-storey lean-to extension to rear.  Pitched slate roof with cast-iron rainwater goods and brick chimneystacks.  Painted smooth rendered walls and render quoins.  Shopfronts comprise timber battened doors, having overlight to eastern house, with attached three-and four-light timber display windows with rendered stall risers, western framed by painted border and eastern having fluted render pilasters with render shell motifs to capitals, render consoles and cornice with render fascia having render hand motifs.  Painted render lettering to fascia.   Square-headed window openings with painted concrete sills, having timber sliding sash two-over-two pane windows to western house and one-over-one pane window to eastern.  Disused petrol pumps and wrought-iron side gates to site.","Though now derelict, these houses and shopfronts retain much of their original character articulated in the render lettering and cornices to the fascia and still have their timber sliding sash windows.  The moulded render hand and shell motifs are visible on other buildings in the town and may point to a single craftsman working locally.",1860,1900,Regional,house,188621,147858,588574,647904,52.58230149,-8.168596933,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/22101002_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=TS&regno=22101002,SURV020
22101003,Fitzgibbon,,Chapel Street,Main Street,Cappawhite,CAPPAGH (DONOHILL PR),Tipperary,TS,TS,"End-of-terrace corner-sited three-bay two-storey house, built c. 1860, with shopfront to ground floor and lower six-bay two-storey addition to north-west.  Pitched slate to west half of roof, having clay ridge tiles, and artificial slate to east.  Rendered chimney stacks and cast-iron rainwater goods.  Painted smooth rendered walls with render quoins and truncated moulded string course at first floor sill level.  Painted render shopfront comprising fluted pilasters, render roundels in place of consoles, moulded cornice with dentils, decorative render lettering to fascia, having cast-iron cow bar and decorative square-headed fixed timber four-light display window and having timber panelled door with narrow overlight.  Square-headed window openings having painted render surrounds, some painted stone sills and replacement uPVC windows.  Square-headed timber three-light windows to west gable and to addition.  Square-headed door openings to west gable and to east end of façade, having timber panelled doors, latter with painted moulded render surround.","The house retains its render mouldings which compliment the many fine features of the shopfront, most notably the ornate render lettering, pilasters and cornice.  The building retains its original form and general character.  It still functions as a retail outlet and forms an integral and attractive part of the streetscape.",1840,1880,Regional,house,188832,147861,588785,647906,52.58232807,-8.165483128,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/22101003_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=TS&regno=22101003,SURV020
22101004,,,The Square,,Cappawhite,CAPPAGH (DONOHILL PR),Tipperary,TS,TS,"Terraced three-bay two-storey house, built c. 1800, on curved and ascending site.  Steeply-pitched artificial slate roof, west-most bay slightly lower, and having cement-rendered chimneystack and cast-iron rainwater goods.  Painted smooth rendered walls.  Square-headed irregularly-aligned window openings with painted moulded render surrounds, painted stone sills and timber casement two-over-two pane windows.  Square-headed door opening to ground floor, having timber battened door and integral fixed timber three-over-three pane former display window.  Square-headed double-leaf timber battened door to carriage arch at north end.",This simple attractive dwelling occupies a prominent position at the edge of the town square and contributes positively to the streetscape.  The building retains most of its original form and character which is evident in the steeply-pitched roof and the relatively small and widespread window openings.,1780,1820,Regional,house,188652,147832,588605,647878,52.58206713,-8.168132874,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/22101004_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=TS&regno=22101004,SURV020
22101005,Parochial Hall,,Main Street,,Cappawhite,CAPPAGH (DONOHILL PR),Tipperary,TS,TS,"Detached five-bay two-storey former parochial hall, built 1931, with external concrete flights of steps to first floor at gable ends and two gable-fronted one and a half-storey additions to rear.  Formerly also used as court house.  Pitched slate roof having terracotta ridge crestings and finials to main block and additions, conical cast-iron vent and cast-iron rain water goods and overhanging eaves.  Ruled-and-lined rendered walls having moulded render string course and sill course to first floor and decorative render shield and plaque ornament to corners.  Date plaques to each side of main entrance.  Segmental-arched openings having timber sliding sash two-over-two pane windows with rendered sills to ground floor and timber battened door with overlight.  Square-headed openings at ends of front elevation with timber battened doors.","This parochial hall occupies a prominent and imposing position in the townscape.  Built in 1931 in the style of a late nineteenth-century building, elegant symmetry and lofty proportions lend this parochial hall an air of sober distinction, underlined by the plaque and shield ornamentation to the façade.  The building retains its original form and fabric and noteworthy features include the clay ridge cresting and finials, segmental-headed timber sliding sash windows and decorative render ornament to the façade.",1930,1935,Regional,church hall/parish hall,188773,147832,588726,647878,52.58207115,-8.166355717,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/22101005_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=TS&regno=22101005,SURV020
22101006,,,Main Street,,Cappawhite,CAPPAGH (DONOHILL PR),Tipperary,TS,TS,"Terraced three-bay two-storey house, built c. 1840.  Pitched artificial slate roof with cement rendered chimneystacks and cast-iron rainwater goods.  Painted ruled-and-lined rendered walls with painted render quoins.  Square-headed window openings having painted stone sills and timber sliding sash six-over-six pane windows.  Cast-iron sill guards to ground floor windows.  Segmental-arched door opening with render hood-moulding terminating in console brackets, having timber panelled door with replacement overlight and sidelights.  Painted rendered wall with cast-iron railings and gates to street.","This elegant classically-proportioned house retains many important features and materials including its timber sliding sash windows, doorcase surround, cast-iron sill features and cast-iron gates and railings.  Despite some alterations this building retains its original form and character and, through its symmetry and continuous roofline, contributes positively to the streetscape.",1820,1860,Regional,house,188809,147837,588762,647882,52.58211353,-8.165819979,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/22101006_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=TS&regno=22101006,SURV020
22101009,An Ceárd Scoil,,Tipperary Road,,Cappawhite,CAPPAGH (DONOHILL PR),Tipperary,TS,TS,"Former school complex comprising block aligned east-west, incorporating main entrance, and unconnected block aligned north-south, built c. 1935, now in use as a community centre.  Detached six-bay single-storey main block, having three-bay gables and assymetrical T-plan flat-roof entrance projection to front.  Hipped slate roof with sproketed eaves, painted concrete asymmetrical chimneystacks and cast-iron rainwater goods.  Rendered parapet and eaves course to flat-roofed projections.  Painted smooth rendered walls with painted smooth rendered stepped plinth.  Square-headed openings with painted concrete sills and timber sliding sash two-over-two horizontal pane windows, paired to each bay of rear elevation.   Square-headed door opening having painted render surround and double-leaf timber half-glazed doors.  Painted metal lettering and electric lamp above entrance.  Limestone threshold and cast-iron boot scrapers to entrance.  Detached six-bay single-storey north-south block, having single-bay flat-roofed extension to south.  Pitched slate roof, no chimneystacks, having cast-iron rain water goods.  Pebbledash to walls with painted smooth rendered plinth.  Square-headed window openings having timber sliding sash three-over-three pane windows and painted concrete sills.  Square-headed door openings to north end bay and extension, having double leaf timber doors, sidelights and concrete steps.  Tarmacadam and playing field to site.  Painted rendered boundary walls and piers, having cast-iron gates, to site.","The newly-independent Irish Free State provided social housing, hospitals and schools around the country in the 1930s.  This school was built at this time and its form and construction are representative of international architectural design of the day. The emphasis is on asymmetry and horizontal lines, articulated here in the long low façade and horizontal panes to the window openings, the asymmetrical chimneystacks and layered plan to the front façade.  Other stylistic features such as the wide flat render surround to the entrance door and stepped plinth are also representative of tastes of the time, as are the particular materials used in construction such as concrete and metal.  This building is an attractive example of the school buildings of the first half of the twentieth century and it retains many features which are essential to its original character.",1925,1945,Regional,school,188695,147625,588626,647682,52.58030711,-8.167824284,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/22101009_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=TS&regno=22101009,SURV020
22101010,T.H. Ryan,,Tipperary Road,,Cappawhite,GLASSDRUM,Tipperary,TS,TS,"Detached two-bay two-storey former public house with paired dwelling,  built c. 1845, having lean-to extensions to rear and pitched slate roof extension to south, now partly disused.  Pitched slate roof with brick chimneystacks and cast-iron rainwater goods.  Painted smooth rendered walls and plinth with painted limestone quoins, having painted moulded render decorative hand, shell, fish, pouring bottle and glass motifs to façade.  Painted timber shopfront to east end of facade comprising fixed timber window with cornice and pilasters with carved timber lettering to fascia and cast-iron cow bar.  Square-headed window openings with painted stone sills, having timber sliding sash two-over-two pane windows to front with render label mouldings and one-over-one pane to rear.  Square-headed door opening to shopfront with double-leaf timber battened door with overlight.  Square-headed door opening to house having render label moulding and replacement uPVC door.  Gravel yard to site, boundary wall with wrought-iron gate to house.","This house retains interesting features and materials such as the timber sliding sash windows, timber shopfront and moulded render motifs.  Of the render mouldings the hand and shell motifs are visible on other buildings in the town and may point to a single craftsman working locally.  Though now partly derelict the character of this building remains substantially intact.",1830,1860,Regional,house,188805,147171,588758,647216,52.57612671,-8.165853995,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/22101010_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=TS&regno=22101010,SURV020
22102001,Bertie's,,Main Street,,Dundrum,GARRYDUFF EAST,Tipperary,TS,TS,"Corner-sited end-of-terrace three-bay three-storey house and public house, built c. 1880, having multiple-bay single-storey flat-roofed extension to rear.  Hipped slate roof with clay ridge crestings and capping, some cast-iron rainwater goods and rendered chimneystacks.  Painted rendered walls with render quoins.  Pubfronts to front and north-west elevations comprising fixed timber display window to front and metal to gable, with replacement cornices, fascias and pilasters, with  render plinths.  Painted advertisement to first and second floor of north-west gable.  Square-headed window openings with painted stone sills, having replacement uPVC windows.  Round-headed door opening to front façade with moulded render surround, timber panelled door and fanlight.  Square-headed door openings to pubfronts having timber panelled doors and overlights.","This imposing structure, which retains interesting features including clay ridge crestings, moulded door surround and still functional pubfronts, occupies a prominent position in the village.  The north-west and front elevations form a main focal point on entering the village, dominating its north end.",1860,1900,Regional,house,197036,145377,596987,645423,52.56011204,-8.044430758,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/22102001_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=TS&regno=22102001,SURV020
22102002,,,Main Street,,Dundrum,GARRYDUFF EAST,Tipperary,TS,TS,"Corner-sited end-of-terrace pair of two-bay two-storey houses, built c. 1880, with multiple-bay single-storey pitched roof extension to rear.  Shared pyramidal slate roof with rendered chimneystacks.  Rendered ruled-and-lined walls with render quoins and plinth.  Render eaves course and sill course comprising console bracket, cyma reversa and diamond mouldings, with additional dentils to eaves course.  Square-headed window openings with replacement uPVC windows.  First floor openings have render surround incorporating diamond mouldings.  Ground floor openings have render surrounds and render console-bracketed cornice mouldings, with console-bracketed render sills to windows.  Recessed replacement timber panelled doors with render plinth acting as step.","The façades of these houses are greatly enlivened by the decorative render detailing.  Their unique character and form remain substantially intact, in spite of refenestration.  Projecting slightly, these houses are located in a prominent position at the north end of the village and contribute positively to the streetscape.",1870,1890,Regional,house,197073,145409,597024,645455,52.56039976,-8.043892107,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/22102002_1.jpg,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=TS&regno=22102002,SURV020
